,,correct_conf,correct_conf,correct_conf,correct_conf,gap,gap,gap,gap,wrong_conf,wrong_conf,wrong_conf,wrong_conf
severity,,Sev1,Sev2,Sev3,clean,Sev1,Sev2,Sev3,clean,Sev1,Sev2,Sev3,clean
model,artifact,,,,,,,,,,,,
jepa,physionet_clean,,,,0.9755859375,,,,0.1201171875,,,,0.85546875
jepa,physionet_dn,0.9306640625,0.927734375,0.93310546875,,0.16748046875,0.1416015625,0.12353515625,,0.76318359375,0.7861328125,0.8095703125,
jepa,physionet_em,0.8740234375,0.861328125,0.8330078125,,0.14794921875,0.1162109375,0.07080078125,,0.72607421875,0.7451171875,0.76220703125,
jepa,physionet_gn,0.87060546875,0.830078125,0.80712890625,,0.15380859375,0.10498046875,0.07373046875,,0.716796875,0.72509765625,0.7333984375,
jepa,physionet_in,0.88330078125,0.8388671875,0.80517578125,,0.15478515625,0.1171875,0.07470703125,,0.728515625,0.7216796875,0.73046875,
jepa,physionet_ma,0.90771484375,0.8828125,0.8525390625,,0.1455078125,0.1162109375,0.0849609375,,0.76220703125,0.7666015625,0.767578125,
st-mem,physionet_clean,,,,0.943359375,,,,0.154296875,,,,0.7890625
st-mem,physionet_dn,0.8544921875,0.85546875,0.87841796875,,0.1669921875,0.16064453125,0.1611328125,,0.6875,0.69482421875,0.71728515625,
st-mem,physionet_em,0.876953125,0.86376953125,0.84423828125,,0.1787109375,0.15087890625,0.1201171875,,0.6982421875,0.712890625,0.72412109375,
st-mem,physionet_gn,0.9052734375,0.90234375,0.90576171875,,0.10009765625,0.134765625,0.1162109375,,0.80517578125,0.767578125,0.78955078125,
st-mem,physionet_in,0.85888671875,0.86083984375,0.87939453125,,0.11572265625,0.09716796875,0.08251953125,,0.7431640625,0.763671875,0.796875,
st-mem,physionet_ma,0.8955078125,0.8818359375,0.85986328125,,0.1826171875,0.1787109375,0.1494140625,,0.712890625,0.703125,0.71044921875,
xecg,physionet_clean,,,,0.97998046875,,,,0.10400390625,,,,0.8759765625
xecg,physionet_dn,0.95849609375,0.943359375,0.94482421875,,0.15087890625,0.14599609375,0.11328125,,0.8076171875,0.79736328125,0.83154296875,
xecg,physionet_em,0.93798828125,0.931640625,0.9189453125,,0.13134765625,0.109375,0.07666015625,,0.806640625,0.822265625,0.84228515625,
xecg,physionet_gn,0.95703125,0.93310546875,0.9248046875,,0.14697265625,0.14453125,0.11767578125,,0.81005859375,0.78857421875,0.80712890625,
xecg,physionet_in,0.953125,0.9345703125,0.92529296875,,0.14794921875,0.14599609375,0.11962890625,,0.80517578125,0.78857421875,0.8056640625,
xecg,physionet_ma,0.95361328125,0.9423828125,0.93310546875,,0.142578125,0.130859375,0.09716796875,,0.81103515625,0.8115234375,0.8359375,
