model,artifact,severity,precision_macro,recall_macro,precision_micro,recall_micro,TP,FP,FN
JEPA,physionet_clean,physionet_clean,0.38187230257051075,0.6625562867157228,0.4037197781372282,0.603588360176864,75626,111697,49668
JEPA,physionet_dn,Sev1,0.3547613189027563,0.6592789962070414,0.33304319713511227,0.6413076444203234,80352,160914,44942
JEPA,physionet_dn,Sev2,0.32430033677430503,0.5585507386705496,0.2294283144175008,0.4783708717097387,59937,201308,65357
JEPA,physionet_dn,Sev3,0.3271667416531351,0.38609756652286364,0.22214446674412872,0.4028365284850033,50473,176735,74821
JEPA,physionet_em,Sev1,0.2595247423354777,0.6895035635871767,0.1626601581729944,0.6882931345475441,86239,443940,39055
JEPA,physionet_em,Sev2,0.2332887615789752,0.6438170265419808,0.11833596647601025,0.5589493511261513,70033,521782,55261
JEPA,physionet_em,Sev3,0.20214157458219972,0.5843122032938284,0.08058661317797822,0.3892764218557952,48774,556463,76520
JEPA,physionet_gn,Sev1,0.2826682419293966,0.707477010201833,0.19488113643669538,0.7112631091672387,89117,368172,36177
JEPA,physionet_gn,Sev2,0.23317535970380177,0.6143476759612041,0.1083823728147229,0.4928727632608106,61754,508025,63540
JEPA,physionet_gn,Sev3,0.18854524743329404,0.5526375103486253,0.0825075345318003,0.3731942471307485,46759,519965,78535
JEPA,physionet_in,Sev1,0.290499276033649,0.6930540332879697,0.17476908222467166,0.6529841812058039,81815,386317,43479
JEPA,physionet_in,Sev2,0.2430383430464651,0.654016341701446,0.11002413148362805,0.5462033297683847,68436,553573,56858
JEPA,physionet_in,Sev3,0.18530596537422048,0.5727330838226061,0.08374726046523435,0.394951075071432,49485,541400,75809
JEPA,physionet_ma,Sev1,0.31430492232452967,0.7099730260540128,0.22818851199830487,0.721989879802704,90461,305970,34833
JEPA,physionet_ma,Sev2,0.2792777202089888,0.6880800091696659,0.16615397637969478,0.6893227129790732,86368,433439,38926
JEPA,physionet_ma,Sev3,0.2569022570785053,0.6218703776933809,0.11175022519889705,0.5188277172091241,65006,516702,60288
ST-MEM,physionet_clean,physionet_clean,0.40556176307539554,0.6673924733391571,0.3972487605591846,0.5960221558893483,74678,113310,50616
ST-MEM,physionet_dn,Sev1,0.2787992895645318,0.569556848401033,0.16975043313803548,0.5121953166153208,64175,313880,61119
ST-MEM,physionet_dn,Sev2,0.2530573802245271,0.38310667989923597,0.12984139782303025,0.3161763532172331,39615,265488,85679
ST-MEM,physionet_dn,Sev3,0.21565414984726994,0.16657549605575503,0.09718821337961607,0.14033393458585408,17583,163334,107711
ST-MEM,physionet_em,Sev1,0.3362900710543736,0.6728567999356253,0.2503384641654876,0.6552508500007981,82099,245853,43195
ST-MEM,physionet_em,Sev2,0.3234989831940774,0.6581741948815115,0.21812925365494404,0.6666161188883746,83523,299383,41771
ST-MEM,physionet_em,Sev3,0.30480331135234207,0.6021820073287182,0.1840895553605449,0.6462719683304867,80974,358888,44320
ST-MEM,physionet_gn,Sev1,0.40530513538384333,0.553894060462896,0.22409341545983286,0.5209267802129391,65269,225989,60025
ST-MEM,physionet_gn,Sev2,0.3349754397771518,0.37518101247147395,0.1228055214757679,0.35630596836241163,44643,318883,80651
ST-MEM,physionet_gn,Sev3,0.2765553028408955,0.26679905841477675,0.07905246576345264,0.23270866921001804,29157,339674,96137
ST-MEM,physionet_in,Sev1,0.3453719697768144,0.5672660680578862,0.14119876009663623,0.4020942742669242,50380,306422,74914
ST-MEM,physionet_in,Sev2,0.2829310540209507,0.5061318316919052,0.08322779320725718,0.35613038134308106,44621,491510,80673
ST-MEM,physionet_in,Sev3,0.29948850929614235,0.32303882986489074,0.0862823376347118,0.27840918160486533,34883,369406,90411
ST-MEM,physionet_ma,Sev1,0.35488457104907245,0.6771549129664903,0.3125794757169598,0.6317301706386579,79152,174070,46142
ST-MEM,physionet_ma,Sev2,0.34162033403028225,0.6710029021780815,0.2514255472755528,0.655969160534423,82189,244703,43105
ST-MEM,physionet_ma,Sev3,0.3173139498490651,0.6191595887131113,0.19578275040986806,0.6404855779207305,80249,329639,45045
