,164889003,164890007,733534002|164909002,713427006|59118001,270492004,713426002,39732003,445118002,47665007,251146004,111975006,698252002,426783006,284470004|63593006,10370003,427172004|17338001,427393009,426177001,427084000,164934002,59931005
164889003,1.0,0.5,0.475,0.4,0.3,0.3,0.35,0.35,0.35,0.425,0.45,0.35,0.25,0.3375,0.375,0.375,0.3,0.3,0.375,0.5,0.5
164890007,0.5,1.0,0.475,0.4,0.3,0.3,0.35,0.35,0.35,0.425,0.45,0.35,0.25,0.3375,0.375,0.375,0.3,0.3,0.375,0.5,0.5
733534002|164909002,0.475,0.475,1.0,0.425,0.325,0.325,0.375,0.375,0.375,0.45,0.475,0.375,0.275,0.3625,0.4,0.4,0.325,0.325,0.4,0.475,0.475
713427006|59118001,0.4,0.4,0.425,1.0,0.4,0.4,0.45,0.45,0.45,0.475,0.45,0.45,0.35,0.4375,0.475,0.475,0.4,0.4,0.475,0.4,0.4
270492004,0.3,0.3,0.325,0.4,1.0,0.5,0.45,0.45,0.45,0.375,0.35,0.45,0.45,0.4625,0.425,0.425,0.5,0.5,0.425,0.3,0.3
713426002,0.3,0.3,0.325,0.4,0.5,1.0,0.45,0.45,0.45,0.375,0.35,0.45,0.45,0.4625,0.425,0.425,0.5,0.5,0.425,0.3,0.3
39732003,0.35,0.35,0.375,0.45,0.45,0.45,1.0,0.5,0.5,0.425,0.4,0.5,0.4,0.4875,0.475,0.475,0.45,0.45,0.475,0.35,0.35
445118002,0.35,0.35,0.375,0.45,0.45,0.45,0.5,1.0,0.5,0.425,0.4,0.5,0.4,0.4875,0.475,0.475,0.45,0.45,0.475,0.35,0.35
47665007,0.35,0.35,0.375,0.45,0.45,0.45,0.5,0.5,1.0,0.425,0.4,0.5,0.4,0.4875,0.475,0.475,0.45,0.45,0.475,0.35,0.35
251146004,0.425,0.425,0.45,0.475,0.375,0.375,0.425,0.425,0.425,1.0,0.475,0.425,0.325,0.4125,0.45,0.45,0.375,0.375,0.45,0.425,0.425
111975006,0.45,0.45,0.475,0.45,0.35,0.35,0.4,0.4,0.4,0.475,1.0,0.4,0.3,0.3875,0.425,0.425,0.35,0.35,0.425,0.45,0.45
698252002,0.35,0.35,0.375,0.45,0.45,0.45,0.5,0.5,0.5,0.425,0.4,1.0,0.4,0.4875,0.475,0.475,0.45,0.45,0.475,0.35,0.35
426783006,0.25,0.25,0.275,0.35,0.45,0.45,0.4,0.4,0.4,0.325,0.3,0.4,1.0,0.4125,0.375,0.375,0.45,0.45,0.375,0.25,0.25
284470004|63593006,0.3375,0.3375,0.3625,0.4375,0.4625,0.4625,0.4875,0.4875,0.4875,0.4125,0.3875,0.4875,0.4125,1.0,0.4625,0.4625,0.4625,0.4625,0.4625,0.3375,0.3375
10370003,0.375,0.375,0.4,0.475,0.425,0.425,0.475,0.475,0.475,0.45,0.425,0.475,0.375,0.4625,1.0,0.5,0.425,0.425,0.5,0.375,0.375
427172004|17338001,0.375,0.375,0.4,0.475,0.425,0.425,0.475,0.475,0.475,0.45,0.425,0.475,0.375,0.4625,0.5,1.0,0.425,0.425,0.5,0.375,0.375
427393009,0.3,0.3,0.325,0.4,0.5,0.5,0.45,0.45,0.45,0.375,0.35,0.45,0.45,0.4625,0.425,0.425,1.0,0.5,0.425,0.3,0.3
426177001,0.3,0.3,0.325,0.4,0.5,0.5,0.45,0.45,0.45,0.375,0.35,0.45,0.45,0.4625,0.425,0.425,0.5,1.0,0.425,0.3,0.3
427084000,0.375,0.375,0.4,0.475,0.425,0.425,0.475,0.475,0.475,0.45,0.425,0.475,0.375,0.4625,0.5,0.5,0.425,0.425,1.0,0.375,0.375
164934002,0.5,0.5,0.475,0.4,0.3,0.3,0.35,0.35,0.35,0.425,0.45,0.35,0.25,0.3375,0.375,0.375,0.3,0.3,0.375,1.0,0.5
59931005,0.5,0.5,0.475,0.4,0.3,0.3,0.35,0.35,0.35,0.425,0.45,0.35,0.25,0.3375,0.375,0.375,0.3,0.3,0.375,0.5,1.0
