model,artifact,severity,precision_macro,recall_macro,precision_micro,recall_micro,TP,FP,FN
JEPA,physionet_clean,physionet_clean,0.41843326403453907,0.6673274872430743,0.4340521477712898,0.5992146471499035,75078,97892,50216
JEPA,physionet_dn,Sev1,0.3604493432849999,0.6565830888850891,0.3362250318072835,0.6390808817660861,80073,158080,45221
JEPA,physionet_dn,Sev2,0.33216877665108935,0.5552487601572972,0.23174613056098112,0.47537791115296824,59562,197452,65732
JEPA,physionet_dn,Sev3,0.33620620395327966,0.3822806101495224,0.22498908999293663,0.3991332386227593,50009,172264,75285
JEPA,physionet_em,Sev1,0.26376320887317006,0.6856473693461453,0.16455361302456484,0.6850367934617779,85831,435768,39463
JEPA,physionet_em,Sev2,0.23689128368442317,0.6389252501050419,0.11948820216323733,0.5552061551231503,69564,512619,55730
JEPA,physionet_em,Sev3,0.20526799628623146,0.5789981423978189,0.08098941778529962,0.38537360128976644,48285,547904,77009
JEPA,physionet_gn,Sev1,0.28680428501879873,0.7051052932360533,0.1966620952043886,0.7095870512554472,88907,363173,36387
JEPA,physionet_gn,Sev2,0.23497763048686532,0.6116647195653705,0.1094853584285895,0.4905502258687567,61463,499918,63831
JEPA,physionet_gn,Sev3,0.18781909339090788,0.5502041494403844,0.08313414771498191,0.3711430714958418,46502,512859,78792
JEPA,physionet_in,Sev1,0.29516505643113117,0.6905491638795203,0.17656854899755606,0.6515874662793111,81640,380730,43654
JEPA,physionet_in,Sev2,0.24961449541259909,0.6508308462271477,0.1113850225445991,0.5441681165897808,68181,543939,57113
JEPA,physionet_in,Sev3,0.18548070799441987,0.5703165697263446,0.08446811321434515,0.39293980557728225,49233,533626,76061
JEPA,physionet_ma,Sev1,0.3186812433891384,0.7074026542932715,0.23068249804408855,0.7201063099589765,90225,300897,35069
JEPA,physionet_ma,Sev2,0.2839939480329506,0.6847419383384687,0.16788745585451992,0.6867367950580235,86044,426466,39250
JEPA,physionet_ma,Sev3,0.2622978466450786,0.6179593183851572,0.11283738244650945,0.5157788880552939,64624,508094,60670
ST-MEM,physionet_clean,physionet_clean,0.40556176307539554,0.6673924733391571,0.3972487605591846,0.5960221558893483,74678,113310,50616
ST-MEM,physionet_dn,Sev1,0.2787992895645318,0.569556848401033,0.16975043313803548,0.5121953166153208,64175,313880,61119
ST-MEM,physionet_dn,Sev2,0.2530573802245271,0.38310667989923597,0.12984139782303025,0.3161763532172331,39615,265488,85679
ST-MEM,physionet_dn,Sev3,0.21565414984726994,0.16657549605575503,0.09718821337961607,0.14033393458585408,17583,163334,107711
ST-MEM,physionet_em,Sev1,0.3362900710543736,0.6728567999356253,0.2503384641654876,0.6552508500007981,82099,245853,43195
ST-MEM,physionet_em,Sev2,0.3234989831940774,0.6581741948815115,0.21812925365494404,0.6666161188883746,83523,299383,41771
ST-MEM,physionet_em,Sev3,0.30480331135234207,0.6021820073287182,0.1840895553605449,0.6462719683304867,80974,358888,44320
ST-MEM,physionet_gn,Sev1,0.40530513538384333,0.553894060462896,0.22409341545983286,0.5209267802129391,65269,225989,60025
ST-MEM,physionet_gn,Sev2,0.3349754397771518,0.37518101247147395,0.1228055214757679,0.35630596836241163,44643,318883,80651
ST-MEM,physionet_gn,Sev3,0.2765553028408955,0.26679905841477675,0.07905246576345264,0.23270866921001804,29157,339674,96137
ST-MEM,physionet_in,Sev1,0.3453719697768144,0.5672660680578862,0.14119876009663623,0.4020942742669242,50380,306422,74914
ST-MEM,physionet_in,Sev2,0.2829310540209507,0.5061318316919052,0.08322779320725718,0.35613038134308106,44621,491510,80673
ST-MEM,physionet_in,Sev3,0.29948850929614235,0.32303882986489074,0.0862823376347118,0.27840918160486533,34883,369406,90411
ST-MEM,physionet_ma,Sev1,0.35488457104907245,0.6771549129664903,0.3125794757169598,0.6317301706386579,79152,174070,46142
ST-MEM,physionet_ma,Sev2,0.34162033403028225,0.6710029021780815,0.2514255472755528,0.655969160534423,82189,244703,43105
ST-MEM,physionet_ma,Sev3,0.3173139498490651,0.6191595887131113,0.19578275040986806,0.6404855779207305,80249,329639,45045
xECG,physionet_clean,physionet_clean,0.4183014424671064,0.6432253635814555,0.4326135741488331,0.5738981914537009,71906,94307,53388
xECG,physionet_dn,Sev1,0.35093795446126425,0.6574472367620116,0.3628793708548883,0.6511085925902278,81580,143233,43714
xECG,physionet_dn,Sev2,0.3185664337133648,0.6199982767309395,0.27482555748530874,0.6453621083212284,80860,213363,44434
xECG,physionet_dn,Sev3,0.25119802812164693,0.43634600167874027,0.18364307717415695,0.43108209491276517,54012,240102,71282
xECG,physionet_em,Sev1,0.31085496633769394,0.6784510178792748,0.2275578543579424,0.6931457212635881,86847,294801,38447
xECG,physionet_em,Sev2,0.28940961761573536,0.6679799199886488,0.1852059447983015,0.6962184941018724,87232,383768,38062
xECG,physionet_em,Sev3,0.253764585957633,0.5978523111018819,0.14412786478192474,0.624491196705349,78245,464641,47049
xECG,physionet_gn,Sev1,0.3415432559367208,0.655297586519379,0.34921735060352666,0.6192954171787954,77594,144600,47700
xECG,physionet_gn,Sev2,0.3039485652247163,0.6588965053201354,0.24954974973101932,0.6812297476335658,85354,256678,39940
xECG,physionet_gn,Sev3,0.2867362187942152,0.6382618200462971,0.19711140817692974,0.6790349098919342,85079,346550,40215
xECG,physionet_in,Sev1,0.33417031525478086,0.6632089302836375,0.3305039897465581,0.6380113971938002,79939,161931,45355
xECG,physionet_in,Sev2,0.30585789448064016,0.6633330057360671,0.2573473537512427,0.6838475904672211,85682,247261,39612
